#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	531	0.050	426
0.076	534	0.102	421
0.126	531	0.152	425
0.177	531	0.203	424
0.228	526	0.253	425
0.279	528	0.304	429
0.330	531	0.355	442
0.380	535	0.406	461
0.431	539	0.456	485
0.482	531	0.507	523
0.533	530	0.557	556
0.583	525	0.609	590
0.634	534	0.659	630
0.684	535	0.710	665
0.736	534	0.760	691
0.786	537	0.811	714
0.837	538	0.862	729
0.887	539	0.913	736
0.938	542	0.963	743
0.988	542	1.014	734
1.040	550	1.064	720
1.090	555	1.115	697
1.141	552	1.166	667
1.191	553	1.217	637
1.242	555	1.267	607
1.293	556	1.318	567
1.344	553	1.368	530
1.394	547	1.420	500
1.445	539	1.470	471
1.495	545	1.521	451
1.547	539	1.571	438
1.597	535	1.622	427
1.648	530	1.673	430
1.698	525	1.724	440
1.749	520	1.774	456
1.799	517	1.825	483
1.851	524	1.875	513
1.901	518	1.926	545
1.952	518	1.977	584
2.002	513	2.028	616
2.053	518	2.078	647
2.104	520	2.129	672
2.155	522	2.179	698
2.205	530	2.231	722
2.256	535	2.281	729
2.306	539	2.332	734
2.358	546	2.382	731
2.408	554	2.433	720
2.459	558	2.484	699
2.509	560	2.535	676
2.560	574	2.586	648
2.610	565	2.636	614
2.662	564	2.687	584
2.712	572	2.737	545
2.763	561	2.789	511
2.813	560	2.839	482
2.864	554	2.890	460
2.915	545	2.940	438
2.966	540	2.991	436
3.016	532	3.042	437
3.067	524	3.093	439
3.117	514	3.143	455
3.169	511	3.194	476
3.219	509	3.244	508
3.270	504	3.296	533
3.320	500	3.346	566
3.371	497	3.397	600
3.422	499	3.447	631
3.473	503	3.498	662
3.523	518	3.548	692
3.574	517	3.600	707
3.624	526	3.650	724
3.675	538	3.701	733
3.726	540	3.751	727
3.777	555	3.802	720
3.827	558	3.853	703
3.878	569	3.904	681
3.928	572	3.954	656
3.980	586	4.005	625
4.030	581	4.055	592
4.081	586	4.107	560
4.131	579	4.157	532
4.182	576	4.208	502
4.233	568	4.258	476
4.284	558	4.309	468
4.334	549	4.359	447
4.385	538	4.411	443
4.435	526	4.461	451
4.486	515	4.512	457
4.537	500	4.562	467
4.588	498	4.613	496
4.638	491	4.664	525
4.689	483	4.715	553
4.739	470	4.765	586
4.791	483	4.816	618
4.841	492	4.866	648
4.892	500	4.918	675
4.942	505	4.968	696
4.993	515	5.019	705
5.044	525	5.069	718
5.095	535	5.120	716
5.145	549	5.170	714
5.196	566	5.222	706
5.246	577	5.272	684
5.297	590	5.323	661
5.348	594	5.373	634
5.399	598	5.424	603
5.449	599	5.475	572
5.500	595	5.526	544
5.550	591	5.576	518
5.602	585	5.627	494
5.652	572	5.677	475
5.703	559	5.729	456
5.753	544	5.779	446
5.804	528	5.830	452
5.855	514	5.880	458
5.906	501	5.931	476
5.956	490	5.982	504
6.007	477	6.033	520
6.057	476	6.083	549
6.108	468	6.134	575
6.159	471	6.184	605
6.210	476	6.235	632
6.261	479	6.286	658
6.311	492	6.337	679
6.362	504	6.387	694
6.413	521	6.438	705
6.464	534	6.488	707
6.514	548	6.540	711
6.565	566	6.590	699
6.615	580	6.641	682
6.667	594	6.691	661
6.717	602	6.742	640
6.768	615	6.793	613
6.818	610	6.844	586
6.869	611	6.894	558
6.919	609	6.945	532
6.971	601	6.995	508
7.021	586	7.046	490
7.072	571	7.097	474
7.122	553	7.148	468
7.173	535	7.198	466
7.224	521	7.249	467
7.275	500	7.299	481
7.325	485	7.351	496
7.376	471	7.401	516
7.426	463	7.452	543
7.478	460	7.502	565
7.528	453	7.553	592
7.579	456	7.604	625
7.629	468	7.655	642
7.680	478	7.705	666
7.730	490	7.756	679
7.782	507	7.806	688
7.832	525	7.857	693
7.883	545	7.908	697
7.933	563	7.959	682
7.984	581	8.009	674
8.035	598	8.060	657
8.086	609	8.110	643
8.136	622	8.162	620
8.187	627	8.212	596
8.237	624	8.263	569
8.289	618	8.313	548
8.339	606	8.364	523
8.390	598	8.415	507
8.440	585	8.466	492
8.491	564	8.516	483
8.542	544	8.567	485
8.593	522	8.617	478
8.643	497	8.668	489
8.694	484	8.719	498
8.744	469	8.770	516
8.795	456	8.820	534
8.846	445	8.871	559
