#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	678	0.050	455
0.076	685	0.101	453
0.126	679	0.151	452
0.177	684	0.203	450
0.227	682	0.253	453
0.278	682	0.304	456
0.329	683	0.354	452
0.380	676	0.405	451
0.430	685	0.456	462
0.481	687	0.507	450
0.531	681	0.557	451
0.583	685	0.608	456
0.633	684	0.658	452
0.684	684	0.710	455
0.734	685	0.760	454
0.785	688	0.811	454
0.835	693	0.861	455
0.887	684	0.912	455
0.937	689	0.962	458
0.988	689	1.014	465
1.038	676	1.064	472
1.089	662	1.115	490
1.140	641	1.165	517
1.191	615	1.216	547
1.241	587	1.267	572
1.292	554	1.318	605
1.342	521	1.368	632
1.394	492	1.419	659
1.444	463	1.469	681
1.495	445	1.521	698
1.545	424	1.571	708
1.596	415	1.622	713
1.646	412	1.672	711
1.698	418	1.723	703
1.748	426	1.773	687
1.799	448	1.825	667
1.849	470	1.875	633
1.900	496	1.926	612
1.951	527	1.976	579
2.002	558	2.027	556
2.053	594	2.078	522
2.103	612	2.129	496
2.154	637	2.179	477
2.205	661	2.230	464
2.256	673	2.280	458
2.306	681	2.332	461
2.357	679	2.382	460
2.407	671	2.433	483
2.459	652	2.483	497
2.509	635	2.534	521
2.560	612	2.584	548
2.610	579	2.636	578
2.661	547	2.686	610
2.711	520	2.737	636
2.763	493	2.787	663
2.813	465	2.838	681
2.864	442	2.889	704
2.914	423	2.940	716
2.965	418	2.990	712
3.016	418	3.041	705
3.067	420	3.091	699
3.117	432	3.143	683
3.168	452	3.193	660
3.218	480	3.244	634
3.270	508	3.294	605
3.320	528	3.345	576
3.371	560	3.395	544
3.421	598	3.447	519
3.472	622	3.497	495
3.522	645	3.548	476
3.574	661	3.598	469
3.624	673	3.649	462
3.675	679	3.700	456
3.725	678	3.751	469
3.776	670	3.801	483
3.827	654	3.852	502
3.878	629	3.902	527
3.928	609	3.954	555
3.979	573	4.004	582
4.029	544	4.055	614
4.081	510	4.105	642
4.131	486	4.156	666
4.182	455	4.206	683
4.232	439	4.258	705
4.283	428	4.308	708
4.333	420	4.359	711
4.385	420	4.409	708
4.435	426	4.460	694
4.486	439	4.511	680
4.536	463	4.562	651
4.587	482	4.612	629
4.638	510	4.663	600
4.689	546	4.713	570
4.739	573	4.765	545
4.790	591	4.815	518
4.840	625	4.866	493
4.892	642	4.916	476
4.942	658	4.967	465
4.993	671	5.018	464
5.043	675	5.069	458
5.094	672	5.120	472
5.144	666	5.170	489
5.196	645	5.221	511
5.246	623	5.271	531
5.297	598	5.323	558
5.347	575	5.373	590
5.398	535	5.424	622
5.449	507	5.474	644
5.500	482	5.525	672
5.550	459	5.576	691
5.601	439	5.627	703
5.651	426	5.677	710
5.703	420	5.728	711
5.753	422	5.778	703
5.804	430	5.830	692
5.854	443	5.880	676
5.905	463	5.931	651
5.955	486	5.981	617
6.007	514	6.032	598
6.057	543	6.082	566
6.108	571	6.134	537
6.158	602	6.184	509
6.209	631	6.235	491
6.260	645	6.285	472
6.311	662	6.336	464
6.361	676	6.387	459
6.412	677	6.438	464
6.462	665	6.488	475
6.514	658	6.539	489
6.564	644	6.589	509
6.615	617	6.641	542
6.665	591	6.691	571
6.716	563	6.742	599
6.766	534	6.792	616
6.818	509	6.843	650
6.868	479	6.893	678
6.919	459	6.945	691
6.969	437	6.995	704
7.020	433	7.046	716
7.071	421	7.096	708
7.122	430	7.147	701
7.172	434	7.198	689
7.223	446	7.249	668
7.273	470	7.299	643
7.325	494	7.350	615
7.375	521	7.400	582
7.426	548	7.452	564
7.476	577	7.502	528
7.527	604	7.553	510
7.578	628	7.603	489
7.629	647	7.654	473
7.679	660	7.704	463
7.730	666	7.756	461
7.780	675	7.806	466
7.831	662	7.857	477
7.882	652	7.907	495
7.933	634	7.958	520
7.984	610	8.009	544
8.034	585	8.060	571
8.085	557	8.110	599
8.136	529	8.161	626
8.187	502	8.211	650
8.237	477	8.263	671
8.288	462	8.313	696
8.338	441	8.364	713
8.390	427	8.414	707
8.440	428	8.465	706
8.491	433	8.515	699
8.541	439	8.567	684
8.592	455	8.617	664
8.642	470	8.668	639
8.694	495	8.718	611
8.744	528	8.769	588
8.795	556	8.820	554
8.845	582	8.871	528
8.896	609	8.921	502
8.947	629	8.972	482
8.998	648	9.022	467
9.048	660	9.074	468
9.099	666	9.124	460
