#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	657	0.050	712
0.076	655	0.101	711
0.127	656	0.151	711
0.177	659	0.203	702
0.228	637	0.253	687
0.278	617	0.304	668
0.330	606	0.354	643
0.380	581	0.405	616
0.431	557	0.455	585
0.481	526	0.507	562
0.532	498	0.557	530
0.582	473	0.608	505
0.634	455	0.659	480
0.684	437	0.709	459
0.735	424	0.761	447
0.785	420	0.811	442
0.836	419	0.862	443
0.887	426	0.912	454
0.938	439	0.963	468
0.988	445	1.014	489
1.039	474	1.065	512
1.089	497	1.115	543
1.141	522	1.166	573
1.191	552	1.216	602
1.242	575	1.267	630
1.292	599	1.318	653
1.343	619	1.369	677
1.393	636	1.419	695
1.445	648	1.470	704
1.495	652	1.520	710
1.546	653	1.572	707
1.596	649	1.622	699
1.647	636	1.673	683
1.698	620	1.723	663
1.749	599	1.774	638
1.799	575	1.825	611
1.850	549	1.876	581
1.900	524	1.926	552
1.952	497	1.977	524
2.002	475	2.027	496
2.053	457	2.078	473
2.103	438	2.129	459
2.154	426	2.180	449
2.204	421	2.230	445
2.256	419	2.281	445
2.306	426	2.331	456
2.357	444	2.383	474
2.407	455	2.433	493
2.458	478	2.484	518
2.509	494	2.534	551
2.560	521	2.585	576
2.610	547	2.636	600
2.661	574	2.687	632
2.711	597	2.737	664
2.763	619	2.788	678
2.813	635	2.838	696
2.864	646	2.890	705
2.914	652	2.940	709
2.965	654	2.991	704
3.015	640	3.041	694
3.067	636	3.092	680
3.117	618	3.142	661
3.168	594	3.194	636
3.218	568	3.244	614
3.269	550	3.295	577
3.320	523	3.345	546
3.371	495	3.396	522
3.421	474	3.447	493
3.472	454	3.498	477
3.522	439	3.548	459
3.574	428	3.599	449
3.624	414	3.649	449
3.675	423	3.701	450
3.725	427	3.751	461
3.776	443	3.802	476
3.826	456	3.852	496
3.878	479	3.903	521
3.928	501	3.953	548
3.979	522	4.005	577
4.029	556	4.055	607
4.080	575	4.106	632
4.131	596	4.156	662
4.182	620	4.207	679
4.232	630	4.258	694
4.283	645	4.309	702
4.333	652	4.359	701
4.385	649	4.410	701
4.435	644	4.460	692
4.486	630	4.512	678
4.536	612	4.562	655
4.587	597	4.613	632
4.637	574	4.663	599
4.689	549	4.714	576
4.739	520	4.764	538
4.790	497	4.816	521
4.840	473	4.866	492
4.891	453	4.917	473
4.942	439	4.967	463
4.993	430	5.018	452
5.043	428	5.069	450
5.094	425	5.120	451
5.144	427	5.170	463
5.196	438	5.221	479
5.246	461	5.271	506
5.297	481	5.323	525
5.347	503	5.373	552
5.398	529	5.424	580
5.448	550	5.474	608
5.500	577	5.525	635
5.550	596	5.575	656
5.601	618	5.627	677
5.651	630	5.677	695
5.702	643	5.728	700
5.753	648	5.778	702
5.804	645	5.829	691
5.854	641	5.880	688
5.905	631	5.931	672
5.955	613	5.981	651
6.007	596	6.032	629
6.057	576	6.082	601
6.108	543	6.134	572
6.158	524	6.184	544
6.209	495	6.235	519
6.259	472	6.285	493
6.311	454	6.336	479
6.361	440	6.386	460
6.412	431	6.438	451
6.462	422	6.488	452
6.513	423	6.539	456
6.564	433	6.589	465
6.615	445	6.640	484
6.666	459	6.691	504
6.716	482	6.742	529
6.767	505	6.792	558
6.818	523	6.843	584
6.869	552	6.893	611
6.919	576	6.945	637
6.970	599	6.995	659
7.020	618	7.046	677
7.072	629	7.096	690
7.122	639	7.147	698
7.173	646	7.197	703
7.223	645	7.249	693
7.274	642	7.299	683
7.324	626	7.350	667
7.376	610	7.400	649
7.426	591	7.451	623
7.477	565	7.502	595
7.527	541	7.553	569
7.578	518	7.603	538
7.629	492	7.654	517
7.680	472	7.704	494
7.730	454	7.756	476
7.781	440	7.806	463
7.831	429	7.857	455
7.883	427	7.907	456
7.933	428	7.958	461
7.984	435	8.008	471
8.034	446	8.060	494
8.085	463	8.110	509
8.135	486	8.161	533
8.187	497	8.211	555
8.237	531	8.262	586
8.288	553	8.313	612
8.338	574	8.364	638
8.389	597	8.414	661
8.440	621	8.465	678
8.491	637	8.515	693
8.541	641	8.567	697
8.592	648	8.617	697
8.642	642	8.668	688
8.694	635	8.718	682
8.744	624	8.769	664
8.795	608	8.819	646
8.845	589	8.871	620
8.896	567	8.921	592
8.946	544	8.972	565
8.998	510	9.022	540
9.048	493	9.073	517
9.099	470	9.124	494
9.149	452	9.175	477
9.200	441	9.225	465
9.251	427	9.276	454
9.302	427	9.326	450
9.352	429	9.378	463
9.403	437	9.428	475
9.453	449	9.479	499
9.505	464	9.529	515
9.555	487	9.580	536
9.606	509	9.630	562
9.656	532	9.682	589
9.707	555	9.733	614
9.757	580	9.783	639
9.809	603	9.834	662
9.859	623	9.884	677
9.910	631	9.936	688
9.960	642	9.986	694
10.011	645	10.037	697
10.062	640	10.087	686
10.113	632	10.138	679
10.163	621	10.189	662
10.214	605	10.240	643
10.264	580	10.290	616
10.316	562	10.341	592
10.366	539	10.391	564
10.417	514	10.443	539
10.467	491	10.493	514
