#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	732	0.051	570
0.076	735	0.101	572
0.127	736	0.153	572
0.177	734	0.203	572
0.228	731	0.254	575
0.278	736	0.304	571
0.330	740	0.355	571
0.380	736	0.405	571
0.431	736	0.457	571
0.481	734	0.507	572
0.532	735	0.558	565
0.583	741	0.608	573
0.634	735	0.659	565
0.684	734	0.710	575
0.735	735	0.761	571
0.785	736	0.811	567
0.837	737	0.862	579
0.887	734	0.912	577
0.938	724	0.964	573
0.988	713	1.014	572
1.039	692	1.065	574
1.089	667	1.115	573
1.141	633	1.166	575
1.191	600	1.216	573
1.242	567	1.268	577
1.292	534	1.318	573
1.343	506	1.369	570
1.394	478	1.419	572
1.445	458	1.470	575
1.495	445	1.521	571
1.546	439	1.572	571
1.596	439	1.622	568
1.648	450	1.673	569
1.698	463	1.723	574
1.749	484	1.775	571
1.799	509	1.825	571
1.850	538	1.876	572
1.900	574	1.926	577
1.952	612	1.977	568
2.002	642	2.027	572
2.053	669	2.079	572
2.103	697	2.129	574
2.154	713	2.180	577
2.205	728	2.230	567
2.256	733	2.281	570
2.306	733	2.332	571
2.357	722	2.383	572
2.407	708	2.433	572
2.459	685	2.484	569
2.509	659	2.534	573
2.560	627	2.586	573
2.610	595	2.636	574
2.661	566	2.687	574
2.711	536	2.737	572
2.763	502	2.788	572
2.813	474	2.838	573
2.864	461	2.890	572
2.914	447	2.940	574
2.965	441	2.991	573
3.016	443	3.041	575
3.067	452	3.092	567
3.118	466	3.143	574
3.168	489	3.194	564
3.219	515	3.244	574
3.270	544	3.295	572
3.321	575	3.345	572
3.371	601	3.397	573
3.422	640	3.447	572
3.472	667	3.498	573
3.524	697	3.548	574
3.574	720	3.599	574
3.625	725	3.649	574
3.675	730	3.701	571
3.726	734	3.751	572
3.776	720	3.802	573
3.828	704	3.852	579
3.878	682	3.903	578
3.929	656	3.954	576
3.979	625	4.005	572
4.030	592	4.055	570
4.081	561	4.106	571
4.132	530	4.156	577
4.182	504	4.208	572
4.233	479	4.258	571
4.283	459	4.309	571
4.335	449	4.359	575
4.385	444	4.410	572
4.436	440	4.460	570
4.486	460	4.512	569
4.537	470	4.562	573
4.587	488	4.613	569
4.639	518	4.663	574
4.689	548	4.714	570
4.740	580	4.765	576
4.790	606	4.816	572
4.841	645	4.866	572
4.892	671	4.917	574
4.943	695	4.967	573
4.993	711	5.019	575
5.044	725	5.069	574
5.094	723	5.120	574
5.146	723	5.170	574
5.196	715	5.221	574
5.247	701	5.271	576
5.297	679	5.323	572
5.348	651	5.373	570
5.398	622	5.424	576
5.450	592	5.474	566
5.500	555	5.525	578
5.551	529	5.576	571
5.601	498	5.627	573
5.652	478	5.677	572
5.703	460	5.728	571
5.754	453	5.778	571
5.804	445	5.830	570
5.855	451	5.880	572
5.905	450	5.931	572
5.957	471	5.981	575
6.007	495	6.032	575
6.058	521	6.083	571
6.108	551	6.134	578
6.159	584	6.185	573
6.209	615	6.235	575
6.261	645	6.286	573
6.311	673	6.336	580
6.362	695	6.388	579
6.412	714	6.438	575
6.463	724	6.489	581
6.514	722	6.539	574
6.565	729	6.590	573
6.615	718	6.641	573
6.666	696	6.692	573
6.716	671	6.742	575
6.768	647	6.793	576
6.818	618	6.843	573
6.869	589	6.895	572
6.919	556	6.945	574
6.970	527	6.996	579
7.020	499	7.046	567
7.072	478	7.097	569
7.122	460	7.147	564
7.173	449	7.199	572
7.223	445	7.249	570
7.274	450	7.300	571
7.325	458	7.350	573
7.376	480	7.401	571
7.426	499	7.452	568
7.477	529	7.503	571
7.527	551	7.553	572
7.579	585	7.604	571
7.629	618	7.654	572
7.680	647	7.706	571
7.730	675	7.756	576
7.781	695	7.807	570
7.831	708	7.857	574
7.883	722	7.908	579
7.933	725	7.958	569
7.984	721	8.010	581
8.034	709	8.060	574
8.085	694	8.111	576
8.136	673	8.161	575
8.187	646	8.212	574
8.237	614	8.263	572
8.288	583	8.314	572
8.338	556	8.364	574
8.390	531	8.415	572
8.440	498	8.465	571
8.491	473	8.517	573
8.541	462	8.567	573
8.592	448	8.618	564
8.643	448	8.668	567
8.694	452	8.719	573
8.744	463	8.769	569
8.795	481	8.821	572
8.845	502	8.871	571
8.896	529	8.922	574
8.947	556	8.972	568
8.998	585	9.023	573
9.049	621	9.074	573
9.099	649	9.125	573
9.150	673	9.175	573
9.201	696	9.226	577
9.252	710	9.276	578
9.302	720	9.328	573
9.353	722	9.378	571
9.403	719	9.429	577
9.455	706	9.479	570
9.505	691	9.530	576
9.556	668	9.580	574
9.606	641	9.632	575
9.657	614	9.682	573
9.707	585	9.733	572
9.759	553	9.783	572
9.809	526	9.834	570
9.860	500	9.885	572
9.910	473	9.936	571
9.961	462	9.986	572
10.012	452	10.037	569
10.063	450	10.087	572
10.113	455	10.139	566
10.164	466	10.189	573
10.214	483	10.240	572
10.266	504	10.290	569
10.316	531	10.341	573
10.367	562	10.391	569
10.417	591	10.443	573
10.468	622	10.493	575
10.518	652	10.544	573
10.570	671	10.594	574
10.620	695	10.645	574
10.671	709	10.696	574
10.721	721	10.747	574
10.772	721	10.797	575
10.823	717	10.848	574
10.874	706	10.898	575
10.924	688	10.950	574
10.975	665	11.000	573
11.025	638	11.051	576
11.077	609	11.101	575
11.127	580	11.152	570
11.178	551	11.203	574
11.228	519	11.254	572
11.279	497	11.304	572
11.329	472	11.355	570
11.381	462	11.405	570
11.431	450	11.456	566
11.482	453	11.507	573
11.532	457	11.558	574
11.583	470	11.608	572
11.634	486	11.659	572
11.685	509	11.709	569
11.735	532	11.761	571
11.786	564	11.811	570
11.836	594	11.862	579
11.888	618	11.912	568
11.938	657	11.963	572
11.989	678	12.014	573
12.039	700	12.065	573
