#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:39:59 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	330	0.051	505
0.076	326	0.102	517
0.127	314	0.152	496
0.178	321	0.203	505
0.229	319	0.253	505
0.279	326	0.305	507
0.330	316	0.355	506
0.380	312	0.406	508
0.432	316	0.456	515
0.482	340	0.507	502
0.533	336	0.557	504
0.583	342	0.609	503
0.634	347	0.659	507
0.684	352	0.710	510
0.736	360	0.760	511
0.786	372	0.811	516
0.837	381	0.862	500
0.887	398	0.913	498
0.938	408	0.963	509
0.989	426	1.014	504
1.040	450	1.064	504
1.090	477	1.116	508
1.141	508	1.166	508
1.191	540	1.217	507
1.243	566	1.267	504
1.293	594	1.318	509
1.344	614	1.368	506
1.394	628	1.420	518
1.445	645	1.470	511
1.495	651	1.521	505
1.547	652	1.571	500
1.597	645	1.622	494
1.648	632	1.673	492
1.698	611	1.724	469
1.749	591	1.774	446
1.800	560	1.825	428
1.851	540	1.875	412
1.901	505	1.927	399
1.952	478	1.977	391
2.002	447	2.028	397
2.054	429	2.078	403
2.104	410	2.129	412
2.155	400	2.179	421
2.205	393	2.231	445
2.256	387	2.282	478
2.306	400	2.332	499
2.358	413	2.383	521
2.408	430	2.433	548
2.459	455	2.485	569
2.509	476	2.535	588
2.560	504	2.586	601
2.611	534	2.636	612
2.662	566	2.687	620
2.712	594	2.738	616
2.763	613	2.789	609
2.813	637	2.839	595
2.865	645	2.890	581
2.915	653	2.940	560
2.966	651	2.992	542
3.016	642	3.042	513
3.067	630	3.093	491
3.117	612	3.143	467
3.169	584	3.194	446
3.219	559	3.244	427
3.270	537	3.296	416
3.320	499	3.346	406
3.371	480	3.397	399
3.422	451	3.447	400
3.473	430	3.498	410
3.523	414	3.549	417
3.574	401	3.600	440
3.624	395	3.650	454
3.676	398	3.701	472
3.726	399	3.751	497
3.777	415	3.803	524
3.827	428	3.853	547
3.878	458	3.904	569
3.928	475	3.954	587
3.980	511	4.005	601
4.030	538	4.055	609
4.081	567	4.107	618
4.131	587	4.157	612
4.182	616	4.208	611
