#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	494	0.050	628
0.076	494	0.101	615
0.126	494	0.151	581
0.177	500	0.203	550
0.227	496	0.253	512
0.278	497	0.304	474
0.329	490	0.354	440
0.380	492	0.405	405
0.430	492	0.456	382
0.481	487	0.507	359
0.531	495	0.557	343
0.583	495	0.608	336
0.633	495	0.658	338
0.684	500	0.710	347
0.734	494	0.760	357
0.785	495	0.811	383
0.836	495	0.861	414
0.887	495	0.912	434
0.937	493	0.962	464
0.988	489	1.014	501
1.038	494	1.064	527
1.089	490	1.115	557
1.140	483	1.165	580
1.191	498	1.216	605
1.241	489	1.267	619
1.292	495	1.318	626
1.342	494	1.368	627
1.394	495	1.419	625
1.444	494	1.469	608
1.495	496	1.521	595
1.545	495	1.571	580
1.596	496	1.622	542
1.647	497	1.672	512
1.698	495	1.723	482
1.748	495	1.774	451
1.799	495	1.825	420
1.849	492	1.875	394
1.900	493	1.926	373
1.951	496	1.976	358
2.002	499	2.027	349
2.053	495	2.078	340
2.103	492	2.129	356
2.154	494	2.179	368
2.205	493	2.230	381
2.256	493	2.280	402
2.306	496	2.332	426
2.357	491	2.382	468
2.407	498	2.433	485
2.459	493	2.483	520
2.509	498	2.534	548
2.560	490	2.585	574
2.610	494	2.636	594
2.661	489	2.686	609
2.711	494	2.737	617
2.763	491	2.787	618
2.813	495	2.838	605
2.864	494	2.889	603
2.914	495	2.940	587
2.965	495	2.990	561
3.016	495	3.041	545
3.067	496	3.091	515
3.117	501	3.143	476
3.168	495	3.193	447
3.218	494	3.244	422
3.270	500	3.294	398
3.320	494	3.345	379
3.371	487	3.396	364
3.421	495	3.447	357
3.472	499	3.497	352
3.522	494	3.548	360
3.574	493	3.598	370
3.624	494	3.649	386
3.675	489	3.700	414
3.725	493	3.751	431
3.776	494	3.801	464
3.827	494	3.852	490
3.878	494	3.902	515
3.928	493	3.954	542
3.979	491	4.004	566
4.029	493	4.055	589
4.081	493	4.105	599
4.131	493	4.156	607
4.182	494	4.207	610
4.232	494	4.258	609
4.283	495	4.308	595
4.334	497	4.359	584
4.385	495	4.409	562
4.435	496	4.460	541
4.486	495	4.511	507
4.536	496	4.562	483
4.587	495	4.612	452
4.638	496	4.663	426
4.689	490	4.713	404
4.739	503	4.765	386
4.790	497	4.815	373
4.840	489	4.866	364
4.892	488	4.916	360
4.942	490	4.967	365
4.993	495	5.018	377
5.043	495	5.069	392
5.094	493	5.120	415
5.145	494	5.170	432
