#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	548	0.051	360
0.076	548	0.101	356
0.127	555	0.153	370
0.177	559	0.203	370
0.228	560	0.254	381
0.279	569	0.304	375
0.330	570	0.355	380
0.380	559	0.405	376
0.431	553	0.457	368
0.481	558	0.507	372
0.532	559	0.558	384
0.583	561	0.608	383
0.634	559	0.659	415
0.684	559	0.710	440
0.735	560	0.761	467
0.785	557	0.811	496
0.837	557	0.862	531
0.887	560	0.912	560
0.938	560	0.964	587
0.988	564	1.014	611
1.039	558	1.065	622
1.090	559	1.115	641
1.141	568	1.166	645
1.191	552	1.217	645
1.242	560	1.268	639
1.292	559	1.318	620
1.343	555	1.369	605
1.394	561	1.419	583
1.445	560	1.470	553
1.495	562	1.521	521
1.546	557	1.572	494
1.596	560	1.622	459
1.648	557	1.673	433
1.698	557	1.723	410
1.749	554	1.775	390
1.799	561	1.825	375
1.850	560	1.876	376
1.901	558	1.926	371
1.952	559	1.977	379
2.002	559	2.028	396
2.053	560	2.079	426
2.103	558	2.129	448
2.154	559	2.180	473
2.205	558	2.230	502
2.256	558	2.281	532
2.306	564	2.332	565
2.357	560	2.383	588
2.407	561	2.433	609
2.459	556	2.484	627
2.509	565	2.534	641
2.560	560	2.586	645
2.610	560	2.636	642
2.661	560	2.687	637
2.712	554	2.737	618
2.763	559	2.788	599
2.813	560	2.839	579
2.864	561	2.890	555
2.914	561	2.940	519
2.965	560	2.991	489
3.016	560	3.041	459
3.067	565	3.092	435
3.117	560	3.143	411
3.168	559	3.194	395
3.218	561	3.244	375
3.270	559	3.295	380
3.320	559	3.345	378
3.371	561	3.397	389
3.421	559	3.447	404
3.472	560	3.498	428
3.523	558	3.548	448
3.574	560	3.599	474
3.624	558	3.650	504
3.675	561	3.701	535
3.725	556	3.751	562
3.777	564	3.802	588
3.827	562	3.852	610
3.878	557	3.903	630
3.928	561	3.954	637
3.979	560	4.005	642
4.029	559	4.055	645
4.081	560	4.106	629
4.131	560	4.156	618
4.182	560	4.208	597
4.232	557	4.258	576
4.283	560	4.309	547
4.334	560	4.359	516
4.385	557	4.410	494
4.435	562	4.461	458
4.486	557	4.512	432
4.536	556	4.562	412
4.588	561	4.613	395
4.638	558	4.663	385
4.689	559	4.714	377
4.739	558	4.765	380
4.790	558	4.816	393
4.840	559	4.866	405
4.892	558	4.917	432
4.942	559	4.967	448
4.993	560	5.019	478
5.043	560	5.069	506
5.094	559	5.120	536
5.145	554	5.170	563
5.196	554	5.221	589
5.246	552	5.272	610
5.297	562	5.323	624
5.347	557	5.373	635
5.399	560	5.424	641
5.449	560	5.474	637
5.500	560	5.525	629
5.550	561	5.576	609
5.601	558	5.627	597
5.651	558	5.677	575
5.703	560	5.728	543
5.753	560	5.778	514
5.804	568	5.830	489
5.854	559	5.880	454
5.905	559	5.931	432
5.956	561	5.981	408
6.007	556	6.032	396
6.057	563	6.083	387
6.108	558	6.134	383
6.158	558	6.184	385
6.210	559	6.235	401
6.260	558	6.285	409
6.311	559	6.337	429
6.361	563	6.387	457
6.412	558	6.438	481
6.462	558	6.488	510
6.514	559	6.539	538
6.564	561	6.589	565
6.615	560	6.641	590
6.665	559	6.691	610
6.716	559	6.742	626
6.767	560	6.792	635
6.818	559	6.843	636
6.868	561	6.894	635
6.919	560	6.945	626
6.969	562	6.995	609
7.021	560	7.046	587
7.071	560	7.096	565
7.122	560	7.148	539
7.172	562	7.198	511
7.223	561	7.249	483
7.273	549	7.299	455
7.325	564	7.350	432
7.375	559	7.400	413
7.426	548	7.452	398
7.476	558	7.502	388
7.527	559	7.553	387
7.578	559	7.603	393
7.629	559	7.654	401
7.679	559	7.705	418
7.730	558	7.756	434
7.780	559	7.806	458
7.832	560	7.857	484
7.882	560	7.907	511
7.933	562	7.959	540
7.983	556	8.009	565
8.034	558	8.060	589
8.084	556	8.110	608
8.136	561	8.161	625
8.186	561	8.211	630
8.237	561	8.263	637
8.287	561	8.313	631
8.338	560	8.364	625
8.389	561	8.414	607
8.440	561	8.465	587
8.490	559	8.516	561
8.541	559	8.567	534
8.591	559	8.617	509
8.643	556	8.668	481
8.693	565	8.718	456
8.744	561	8.770	432
8.794	560	8.820	413
8.845	566	8.871	399
8.895	555	8.921	394
8.947	558	8.972	389
8.998	559	9.022	390
9.048	560	9.074	405
9.099	558	9.124	423
9.149	559	9.175	437
9.201	559	9.225	460
9.251	558	9.276	480
9.302	557	9.327	513
9.352	558	9.378	538
9.403	554	9.428	567
9.454	555	9.479	590
9.505	559	9.529	607
9.555	566	9.581	622
9.606	559	9.631	630
9.656	563	9.682	636
9.708	561	9.732	629
9.758	560	9.783	619
9.809	557	9.833	609
9.859	560	9.885	588
9.910	559	9.935	553
9.960	560	9.986	533
10.012	560	10.036	507
10.062	560	10.087	479
10.113	554	10.138	456
10.163	554	10.189	431
10.214	559	10.239	415
10.265	554	10.290	400
10.316	558	10.340	400
10.366	559	10.392	390
10.417	559	10.442	394
10.467	562	10.493	410
10.519	558	10.543	418
10.569	558	10.594	438
10.620	556	10.644	464
10.670	559	10.696	491
10.721	558	10.746	515
10.771	561	10.797	543
10.823	560	10.847	569
10.873	561	10.898	589
10.924	559	10.949	608
10.974	561	11.000	621
11.025	558	11.050	627
11.076	559	11.101	631
11.127	562	11.151	625
11.177	560	11.203	620
11.228	562	11.253	601
11.278	559	11.304	579
11.330	555	11.354	558
11.380	559	11.405	532
11.431	560	11.455	505
11.481	558	11.507	479
11.532	548	11.557	454
11.582	563	11.608	432
11.634	557	11.658	415
11.684	558	11.709	401
11.735	560	11.760	395
11.785	557	11.811	393
11.836	559	11.861	402
11.887	561	11.912	407
11.938	559	11.963	431
11.988	559	12.014	445
12.039	559	12.065	463
12.089	559	12.115	488
12.141	564	12.166	514
12.191	556	12.216	546
12.242	563	12.268	569
12.292	555	12.318	591
12.343	558	12.369	607
12.393	562	12.419	620
12.445	560	12.470	626
12.495	560	12.520	627
12.546	560	12.572	622
12.596	560	12.622	613
12.647	561	12.673	597
12.698	565	12.723	575
12.749	561	12.774	550
12.799	559	12.825	533
12.850	558	12.876	501
12.900	560	12.926	477
12.952	559	12.977	453
13.002	560	13.027	436
13.053	560	13.079	415
13.103	560	13.129	404
13.154	560	13.180	401
