#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	579	0.051	462
0.076	581	0.102	459
0.127	581	0.153	463
0.177	581	0.203	473
0.229	582	0.254	462
0.279	580	0.304	465
0.330	579	0.355	461
0.380	580	0.406	460
0.431	581	0.457	466
0.481	577	0.507	463
0.533	580	0.558	464
0.583	579	0.608	463
0.634	575	0.660	464
0.684	578	0.710	474
0.735	579	0.761	475
0.787	580	0.811	491
0.837	580	0.862	500
0.888	582	0.913	524
0.938	582	0.964	550
0.989	581	1.014	573
1.040	581	1.065	589
1.091	585	1.115	611
1.141	580	1.167	627
1.192	580	1.217	642
1.242	579	1.268	653
1.293	575	1.318	662
1.344	582	1.369	659
1.395	578	1.419	652
1.445	580	1.471	646
1.496	584	1.521	632
1.546	578	1.572	616
1.598	581	1.622	594
1.648	580	1.673	566
1.699	580	1.724	553
1.749	580	1.775	537
1.800	580	1.825	510
1.851	581	1.876	496
1.902	581	1.926	481
1.952	581	1.978	474
2.003	583	2.028	465
2.053	579	2.079	470
2.104	579	2.129	469
2.155	571	2.180	475
2.206	576	2.230	493
2.256	582	2.282	506
2.307	580	2.332	529
2.357	581	2.383	546
2.409	581	2.433	569
2.459	580	2.484	596
2.510	582	2.535	610
2.560	580	2.586	632
2.611	580	2.636	636
2.662	583	2.687	650
2.713	579	2.737	655
2.763	579	2.789	655
2.814	580	2.839	652
2.864	582	2.890	643
2.915	581	2.940	633
2.966	581	2.991	612
3.017	579	3.041	595
3.067	580	3.093	570
3.118	577	3.143	555
3.168	581	3.194	530
3.220	579	3.244	516
3.270	583	3.295	491
3.321	581	3.346	484
3.371	582	3.397	472
3.422	580	3.447	468
3.473	583	3.498	468
3.524	583	3.548	472
3.574	588	3.600	482
3.625	577	3.650	496
3.675	580	3.701	511
3.727	582	3.751	531
3.777	584	3.802	551
3.828	582	3.853	572
3.878	581	3.904	594
3.929	581	3.955	611
3.979	581	4.005	629
4.031	580	4.056	642
4.081	584	4.106	650
4.132	583	4.158	652
