#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	577	0.050	473
0.075	586	0.101	464
0.127	575	0.151	497
0.177	588	0.202	474
0.228	575	0.253	471
0.278	590	0.304	456
0.329	580	0.354	464
0.380	581	0.405	450
0.431	580	0.455	476
0.481	580	0.507	475
0.532	580	0.557	494
0.582	581	0.608	451
0.634	588	0.658	455
0.684	578	0.709	469
0.735	583	0.759	467
0.785	588	0.811	470
0.836	580	0.862	467
0.886	571	0.912	469
0.938	572	0.963	470
0.988	593	1.013	466
1.039	589	1.065	474
1.089	583	1.115	474
1.140	581	1.166	465
1.191	581	1.216	465
1.242	581	1.267	466
1.292	581	1.318	477
1.343	586	1.369	476
1.393	580	1.419	494
1.445	584	1.470	508
1.495	581	1.520	527
1.546	579	1.572	546
1.596	584	1.622	559
1.647	581	1.673	585
1.697	579	1.723	602
1.749	585	1.774	623
1.799	579	1.824	632
1.850	582	1.876	641
1.900	585	1.926	650
1.951	582	1.977	647
2.002	581	2.027	652
2.053	581	2.078	634
2.103	581	2.129	631
2.154	580	2.180	615
2.204	581	2.230	595
2.256	579	2.281	579
2.306	576	2.331	555
2.357	587	2.383	534
2.407	578	2.433	518
2.458	583	2.484	500
2.508	584	2.534	487
2.560	581	2.585	475
2.610	582	2.635	472
2.661	586	2.687	469
2.711	580	2.737	481
2.762	582	2.788	476
2.813	580	2.838	498
2.864	580	2.889	516
2.914	580	2.940	529
2.965	580	2.991	550
3.015	579	3.041	567
3.067	584	3.092	587
3.117	574	3.142	606
3.168	586	3.194	621
3.218	576	3.244	635
3.269	575	3.295	645
3.319	585	3.345	648
3.371	581	3.396	649
3.421	581	3.446	645
3.472	580	3.498	641
3.522	583	3.548	630
3.573	581	3.599	612
3.624	580	3.649	596
3.675	586	3.700	573
3.725	577	3.751	554
3.776	586	3.802	527
3.826	584	3.852	516
3.878	582	3.903	502
3.928	588	3.953	488
3.979	576	4.005	479
4.029	587	4.055	474
4.080	578	4.106	475
4.130	578	4.156	476
4.182	583	4.207	489
4.232	580	4.257	497
4.283	584	4.309	512
4.333	580	4.359	536
4.384	580	4.410	546
4.435	577	4.460	577
4.486	578	4.511	588
4.536	580	4.562	605
4.587	580	4.613	623
4.637	580	4.663	636
4.689	581	4.714	643
4.739	579	4.764	648
4.790	584	4.816	648
4.840	582	4.866	644
4.891	581	4.917	635
4.941	580	4.967	622
4.993	580	5.018	604
5.043	582	5.068	597
5.094	582	5.120	575
5.144	580	5.170	553
5.195	580	5.221	535
5.246	581	5.271	515
5.297	584	5.322	501
5.348	572	5.373	487
5.398	573	5.424	479
5.449	572	5.474	475
5.500	580	5.525	479
5.551	578	5.575	480
5.601	582	5.627	493
5.652	581	5.677	501
5.702	581	5.728	515
5.754	580	5.778	533
5.804	581	5.829	548
5.855	580	5.879	569
5.905	578	5.931	594
5.956	583	5.981	608
6.006	584	6.032	623
6.058	586	6.082	635
6.108	581	6.133	642
6.159	584	6.184	645
6.209	581	6.235	646
6.260	583	6.285	640
6.311	582	6.336	632
6.362	585	6.386	621
6.412	582	6.438	611
6.463	581	6.488	587
6.513	581	6.539	570
6.565	584	6.589	558
6.615	581	6.640	529
6.666	581	6.690	511
6.716	579	6.742	503
6.767	581	6.792	492
6.817	577	6.843	481
6.869	581	6.893	478
6.919	576	6.944	475
6.970	578	6.995	484
7.020	576	7.046	494
7.071	582	7.096	503
7.122	579	7.147	522
7.173	581	7.197	536
7.223	574	7.249	551
7.274	580	7.299	574
7.324	580	7.350	593
7.376	581	7.400	609
7.426	582	7.451	622
7.477	577	7.501	632
7.527	580	7.553	641
7.578	581	7.603	644
7.628	583	7.654	644
7.680	580	7.704	639
7.730	581	7.755	630
7.781	574	7.806	616
7.831	584	7.857	600
7.882	582	7.907	579
7.933	582	7.958	567
7.984	580	8.008	548
8.034	581	8.060	536
8.085	579	8.110	511
8.135	580	8.161	502
8.187	581	8.211	478
8.237	580	8.262	481
8.288	580	8.312	479
8.338	583	8.364	477
8.389	585	8.415	485
8.439	582	8.465	492
8.491	580	8.516	507
8.541	578	8.566	522
8.592	584	8.618	540
8.642	581	8.668	564
8.693	581	8.719	577
8.744	581	8.769	592
8.795	581	8.820	605
8.845	580	8.871	623
8.896	581	8.922	631
8.946	580	8.972	640
8.998	582	9.023	643
9.048	581	9.073	641
9.099	581	9.125	635
9.149	577	9.175	627
9.200	582	9.226	614
9.250	579	9.276	600
9.302	579	9.327	582
9.352	581	9.377	563
9.403	581	9.429	546
9.453	582	9.479	531
9.504	581	9.530	520
9.555	581	9.580	494
9.606	580	9.631	494
9.656	582	9.682	489
9.707	580	9.733	478
