#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:55:44 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	687	0.050	573
0.076	687	0.101	570
0.127	689	0.151	572
0.177	689	0.203	573
0.228	691	0.253	570
0.278	691	0.304	568
0.330	689	0.354	568
0.380	688	0.405	574
0.431	689	0.455	567
0.481	690	0.507	567
0.532	689	0.557	570
0.582	691	0.608	570
0.634	686	0.658	571
0.684	688	0.709	571
0.735	691	0.760	572
0.785	691	0.811	569
0.836	694	0.861	577
0.887	687	0.912	575
0.938	690	0.962	575
0.988	679	1.014	571
1.039	664	1.064	577
1.089	648	1.115	576
1.141	626	1.165	578
1.191	605	1.216	574
1.242	585	1.266	574
1.292	556	1.318	571
1.343	534	1.368	574
1.393	516	1.419	574
1.445	496	1.469	574
1.495	493	1.520	572
1.546	484	1.571	574
1.596	483	1.622	570
1.647	489	1.672	568
1.698	497	1.723	569
1.749	509	1.773	570
1.799	528	1.825	574
1.850	547	1.875	576
1.900	570	1.926	571
1.952	594	1.976	566
2.002	612	2.027	580
2.053	638	2.077	573
2.103	659	2.129	571
2.154	668	2.179	571
2.204	681	2.230	573
2.256	686	2.280	574
2.306	683	2.331	576
2.357	688	2.382	575
2.407	673	2.433	576
2.458	661	2.483	571
2.509	642	2.534	576
2.560	623	2.584	569
2.610	602	2.636	574
2.661	579	2.686	577
2.711	558	2.737	568
2.763	533	2.787	575
2.813	515	2.838	571
2.864	501	2.888	575
2.914	489	2.940	569
2.965	486	2.990	571
3.015	486	3.041	569
3.067	485	3.091	571
3.117	502	3.142	570
3.168	518	3.193	575
3.218	537	3.244	569
3.269	550	3.294	572
3.320	572	3.345	573
3.371	595	3.395	575
3.421	617	3.447	575
3.472	639	3.497	571
3.522	659	3.548	571
3.574	671	3.598	573
3.624	682	3.649	580
3.675	686	3.699	576
3.725	691	3.751	575
3.776	685	3.802	575
3.826	671	3.852	575
3.878	656	3.903	575
3.928	645	3.953	579
3.979	620	4.005	576
4.029	602	4.055	576
4.080	574	4.106	574
4.131	553	4.156	577
4.182	532	4.207	573
4.232	512	4.258	571
4.283	499	4.309	578
4.333	491	4.359	567
4.385	488	4.410	571
4.435	486	4.460	571
4.486	491	4.512	570
4.536	500	4.562	572
4.587	512	4.613	568
4.637	535	4.663	570
4.689	551	4.714	570
4.739	575	4.764	571
4.790	598	4.816	571
4.840	619	4.866	575
4.891	639	4.917	569
4.942	657	4.967	569
4.993	671	5.018	570
5.043	680	5.069	568
5.094	685	5.120	571
5.144	686	5.170	575
5.196	679	5.221	576
5.246	669	5.271	575
5.297	655	5.323	576
5.347	632	5.373	577
5.398	612	5.424	575
5.448	600	5.474	575
5.500	574	5.525	577
5.550	548	5.575	575
5.601	532	5.627	576
5.651	515	5.677	572
5.702	501	5.728	568
5.753	491	5.778	569
5.804	486	5.829	561
5.854	487	5.880	569
5.905	493	5.931	572
5.955	504	5.981	571
6.007	519	6.032	569
6.057	536	6.082	570
6.108	554	6.134	571
6.158	577	6.184	571
6.209	600	6.235	571
6.259	622	6.285	569
6.311	642	6.336	572
6.361	657	6.386	569
6.412	667	6.438	576
6.462	680	6.488	577
6.513	684	6.539	578
6.564	687	6.589	570
6.615	677	6.640	575
6.665	666	6.691	575
6.716	651	6.742	575
6.766	636	6.792	575
6.818	617	6.843	576
6.868	593	6.893	575
6.919	571	6.945	573
6.969	545	6.995	579
7.020	533	7.046	573
7.071	513	7.096	575
7.122	501	7.147	573
7.172	495	7.197	571
7.223	488	7.249	576
7.273	488	7.299	566
7.324	495	7.350	567
7.375	506	7.400	570
7.426	519	7.451	573
7.476	537	7.502	571
7.527	558	7.553	570
7.577	577	7.603	572
7.629	603	7.654	573
7.679	620	7.704	572
7.730	643	7.756	573
7.780	657	7.806	574
7.831	670	7.857	574
7.882	678	7.907	572
7.933	682	7.958	578
7.983	680	8.008	578
8.034	673	8.060	573
8.084	663	8.110	581
8.135	652	8.161	568
8.186	631	8.211	576
8.237	611	8.262	573
8.288	590	8.313	574
8.338	570	8.364	574
8.389	555	8.414	572
8.440	527	8.465	573
8.491	516	8.515	572
8.541	506	8.567	572
8.592	498	8.617	571
8.642	489	8.668	568
8.694	491	8.718	572
8.744	501	8.769	574
8.795	508	8.819	568
8.845	524	8.871	572
8.896	541	8.921	572
8.946	560	8.972	570
8.998	575	9.022	574
9.048	603	9.073	572
9.099	624	9.124	572
9.149	640	9.175	573
9.200	662	9.225	573
9.251	670	9.276	573
9.302	681	9.326	576
9.352	681	9.378	576
9.403	681	9.428	578
9.453	670	9.479	574
9.505	660	9.529	579
9.555	646	9.580	576
9.606	628	9.631	577
9.656	605	9.682	570
9.707	587	9.732	568
9.757	565	9.783	572
9.809	546	9.833	571
9.859	527	9.884	572
9.910	513	9.935	572
9.960	504	9.986	571
10.011	491	10.036	572
10.062	487	10.087	567
10.113	488	10.137	570
10.163	502	10.189	570
10.214	511	10.239	571
10.264	525	10.290	571
10.316	544	10.340	573
10.366	563	10.391	573
10.417	585	10.442	575
10.467	605	10.493	568
10.518	626	10.543	572
10.568	645	10.594	572
10.620	658	10.644	571
10.670	664	10.695	574
10.721	678	10.746	574
10.771	682	10.797	575
10.822	680	10.847	575
10.873	666	10.898	576
10.924	659	10.948	579
10.974	644	11.000	576
11.025	626	11.050	569
11.075	601	11.101	571
11.127	580	11.151	571
11.177	566	11.202	575
11.228	545	11.253	574
11.278	527	11.304	567
11.329	512	11.355	576
11.379	502	11.405	571
11.431	492	11.456	571
11.481	492	11.506	570
11.532	490	11.558	570
11.582	505	11.608	572
11.633	517	11.659	572
11.684	529	11.709	568
11.735	549	11.760	574
11.785	566	11.811	568
11.836	586	11.862	576
11.886	606	11.912	565
11.938	627	11.963	576
11.988	644	12.013	571
12.039	659	12.065	572
12.089	669	12.115	578
12.140	675	12.166	575
12.191	677	12.216	573
12.242	673	12.267	574
12.292	668	12.317	575
12.343	656	12.369	576
12.393	646	12.419	573
12.444	623	12.470	574
