#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:55:44 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	737	0.050	572
0.076	737	0.101	574
0.127	733	0.152	574
0.177	731	0.203	569
0.228	732	0.253	573
0.279	733	0.304	578
0.330	734	0.354	574
0.380	732	0.406	579
0.431	733	0.456	578
0.481	729	0.507	572
0.533	733	0.557	577
0.583	734	0.608	574
0.634	730	0.658	574
0.684	728	0.710	569
0.735	731	0.760	572
0.785	725	0.811	573
0.837	715	0.861	572
0.887	699	0.912	573
0.938	678	0.963	573
0.988	650	1.014	565
1.039	621	1.064	571
1.090	585	1.115	574
1.141	558	1.165	570
1.191	515	1.217	573
1.242	499	1.267	578
1.292	472	1.318	571
1.344	456	1.368	572
1.394	442	1.419	572
1.445	438	1.469	570
1.495	449	1.521	572
1.546	459	1.571	574
1.596	473	1.622	574
1.648	492	1.672	577
1.698	524	1.723	573
1.749	555	1.774	574
1.799	586	1.825	573
1.850	620	1.875	569
1.901	652	1.926	572
1.952	678	1.977	579
2.002	699	2.028	585
2.053	715	2.079	579
2.103	726	2.129	574
2.155	729	2.180	573
2.205	729	2.230	573
2.256	713	2.282	573
2.306	695	2.332	573
2.357	676	2.383	574
2.407	648	2.433	573
2.459	616	2.484	568
2.509	583	2.534	572
2.560	550	2.586	572
2.610	521	2.636	572
2.661	487	2.687	572
2.712	472	2.737	573
2.763	455	2.788	570
2.813	445	2.839	572
2.864	444	2.890	573
2.914	447	2.940	573
2.966	457	2.991	573
3.016	479	3.041	575
3.067	497	3.093	574
3.117	532	3.143	574
3.168	559	3.194	574
3.218	592	3.244	573
3.270	624	3.295	573
3.320	653	3.345	573
3.371	679	3.397	571
3.421	701	3.447	568
3.472	715	3.498	577
3.523	729	3.548	572
3.574	731	3.599	573
3.624	721	3.650	574
3.675	711	3.701	571
3.725	693	3.751	574
3.777	670	3.802	575
3.827	639	3.852	573
3.878	614	3.904	573
3.928	581	3.954	573
3.979	543	4.005	574
4.029	516	4.055	574
4.081	491	4.106	573
4.131	470	4.156	572
4.182	456	4.208	575
4.232	451	4.258	570
4.283	445	4.309	564
4.334	451	4.359	570
4.385	460	4.410	572
4.435	478	4.461	581
4.486	503	4.512	572
4.536	536	4.562	573
4.588	558	4.613	573
4.638	599	4.663	572
4.689	620	4.715	576
4.739	652	4.765	572
4.790	678	4.816	573
4.841	700	4.866	574
4.892	714	4.917	573
4.942	723	4.967	579
4.993	726	5.019	578
5.043	721	5.069	570
5.094	708	5.120	568
5.145	689	5.170	573
5.196	666	5.221	575
5.246	638	5.272	574
5.297	607	5.323	571
5.347	580	5.373	579
5.399	550	5.424	574
5.449	517	5.474	572
5.500	484	5.526	573
5.550	469	5.576	573
5.601	455	5.627	572
5.652	449	5.677	576
5.703	448	5.728	571
5.753	457	5.778	578
5.804	465	5.830	578
5.854	483	5.880	576
5.905	507	5.931	565
5.956	535	5.981	574
6.007	564	6.032	572
6.058	596	6.083	573
6.108	627	6.134	571
6.159	652	6.184	573
6.210	680	6.235	574
6.261	704	6.285	574
6.311	715	6.337	573
6.362	723	6.387	575
6.412	725	6.438	576
6.464	716	6.488	575
6.514	705	6.539	569
6.565	691	6.589	577
6.615	662	6.641	579
6.666	630	6.691	572
6.716	605	6.742	577
6.768	574	6.792	573
6.818	544	6.843	572
6.869	514	6.894	572
6.919	490	6.945	572
6.970	471	6.995	572
7.021	455	7.046	573
7.072	449	7.096	573
7.122	453	7.148	567
7.173	459	7.198	571
7.223	469	7.249	570
7.275	487	7.299	573
7.325	510	7.350	570
7.376	538	7.401	574
7.426	563	7.452	569
7.477	597	7.502	573
7.527	625	7.553	570
7.579	657	7.603	573
7.629	681	7.654	572
7.680	700	7.705	573
7.730	713	7.756	573
7.781	719	7.806	573
7.832	725	7.857	577
7.883	718	7.907	574
7.933	700	7.959	574
7.984	681	8.009	574
8.034	657	8.060	572
8.086	635	8.110	573
8.136	601	8.161	576
8.187	573	8.212	577
8.237	542	8.263	573
8.288	516	8.313	572
8.338	489	8.364	573
8.390	470	8.414	571
8.440	458	8.465	575
8.491	452	8.516	573
8.541	449	8.567	570
8.592	460	8.617	572
8.643	472	8.668	573
8.694	490	8.718	572
8.744	514	8.770	572
8.795	542	8.820	574
8.845	570	8.871	573
8.897	600	8.921	570
8.947	630	8.972	576
8.998	657	9.023	574
9.048	681	9.074	577
9.099	699	9.125	574
9.149	712	9.175	580
9.201	719	9.226	576
9.251	717	9.276	574
9.302	712	9.328	576
9.352	700	9.378	575
9.403	678	9.429	574
9.454	656	9.479	571
9.505	628	9.530	574
9.555	599	9.581	573
9.606	569	9.632	572
9.656	540	9.682	573
9.708	513	9.733	575
9.758	490	9.783	571
9.809	470	9.835	570
9.859	460	9.885	575
9.910	452	9.936	572
9.961	453	9.986	574
10.012	462	10.037	572
10.062	474	10.087	574
10.113	494	10.139	571
10.163	516	10.189	572
10.214	545	10.240	572
10.265	571	10.290	572
10.316	606	10.341	571
10.366	637	10.392	573
10.417	658	10.443	567
10.467	680	10.493	572
10.519	700	10.544	577
10.569	713	10.594	569
10.620	717	10.646	576
10.670	717	10.696	574
10.721	709	10.747	572
10.772	695	10.797	574
10.823	676	10.848	575
10.873	651	10.898	573
10.924	625	10.950	574
10.974	599	11.000	573
11.025	564	11.051	573
11.076	540	11.101	576
11.127	506	11.152	573
11.177	490	11.203	579
11.228	468	11.254	574
11.278	460	11.304	573
11.330	458	11.355	568
11.380	457	11.405	569
11.431	463	11.457	573
11.481	477	11.507	569
11.532	498	11.558	572
11.583	521	11.608	572
11.634	548	11.659	572
11.684	577	11.709	571
11.735	606	11.761	573
11.785	634	11.811	575
11.836	660	11.862	573
11.887	687	11.912	570
11.938	698	11.963	574
11.988	713	12.014	571
12.039	716	12.065	571
12.089	713	12.115	569
12.141	705	12.166	569
12.191	693	12.216	576
12.242	672	12.268	572
12.292	646	12.318	569
12.343	621	12.369	574
12.394	592	12.419	573
12.445	567	12.470	573
12.495	536	12.521	573
12.546	511	12.572	572
12.596	489	12.622	572
12.647	473	12.673	572
12.698	456	12.723	571
12.749	455	12.774	571
12.800	457	12.825	573
12.850	468	12.876	570
12.901	480	12.926	571
