#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
2.242438	2.156487	0.026884
3.320667	2.156436	0.026974
4.398874	2.156391	0.027060
5.477058	2.156346	0.027148
6.555220	2.156308	0.027236
7.633366	2.156232	0.027320
8.711452	2.156183	0.027408
9.789549	2.156242	0.027494
10.867694	2.156182	0.027572
11.945731	2.156010	0.027658
13.023704	2.155970	0.027752
14.101701	2.155986	0.027846
15.179690	2.155930	0.027936
16.257631	2.155882	0.028022
17.335572	2.155869	0.028108
18.413500	2.155835	0.028200
19.491407	2.155790	0.028294
20.569290	2.155744	0.028384
21.647151	2.155714	0.028474
22.725004	2.155693	0.028564
23.802844	2.155659	0.028656
24.880663	2.155623	0.028746
25.958467	2.155565	0.028838
27.036228	2.155513	0.028936
28.113980	2.155501	0.029028
29.191729	2.155452	0.029114
30.269432	2.155394	0.029208
31.347123	2.155375	0.029310
32.424807	2.155380	0.029410
33.502503	2.155385	0.029506
34.580192	2.155315	0.029600
35.657818	2.155235	0.029700
36.735427	2.155202	0.029794
37.813020	2.155190	0.029888
38.890617	2.155162	0.029990
39.968182	2.155121	0.030092
41.045738	2.155084	0.030192
42.123266	2.155045	0.030292
43.200783	2.155018	0.030390
44.278284	2.154991	0.030492
45.355774	2.154911	0.030600
46.433195	2.154838	0.030702
47.510612	2.154827	0.030800
48.588022	2.154804	0.030904
49.665416	2.154722	0.031004
50.742744	2.154701	0.031108
51.820117	2.154715	0.031210
52.897459	2.154675	0.031314
53.974792	2.154619	0.031420
55.052078	2.154559	0.031528
56.129351	2.154553	0.031634
57.206631	2.154539	0.031738
58.283890	2.154502	0.031848
59.361133	2.154478	0.031954
60.438368	2.154454	0.032064
61.515587	2.154451	0.032174
62.592819	2.154399	0.032278
63.669986	2.154314	0.032384
64.747133	2.154247	0.032494
65.824233	2.154238	0.032606
66.901371	2.154226	0.032718
67.978459	2.154228	0.032834
69.055599	2.154230	0.032950
70.132689	2.154158	0.033062
71.209757	2.154136	0.033178
72.286825	2.154094	0.033298
73.363851	2.154038	0.033414
74.440863	2.154013	0.033534
75.517864	2.153993	0.033652
76.594856	2.153979	0.033768
77.671843	2.153936	0.033886
78.748792	2.153924	0.034004
79.825767	2.153842	0.034130
80.902634	2.153801	0.034252
81.979568	2.153843	0.034364
83.056477	2.153737	0.034490
84.133305	2.153648	0.034614
85.210125	2.153639	0.034734
86.286944	2.153610	0.034856
87.363735	2.153576	0.034978
88.440520	2.153556	0.035100
89.517291	2.153531	0.035226
90.594051	2.153509	0.035350
91.670800	2.153472	0.035476
92.747523	2.153433	0.035606
93.824233	2.153409	0.035734
94.900932	2.153383	0.035864
95.977616	2.153362	0.035996
97.054294	2.153334	0.036124
98.130950	2.153299	0.036256
99.207593	2.153260	0.036386
100.284210	2.153242	0.036520
101.360835	2.153221	0.036658
102.437431	2.153193	0.036794
103.514028	2.153091	0.036928
104.590522	2.153010	0.037064
105.667038	2.152992	0.037200
106.743514	2.152951	0.037340
107.819989	2.152926	0.037478
108.896440	2.152892	0.037616
109.972881	2.152855	0.037750
111.049295	2.152823	0.037886
112.125704	2.152788	0.038028
113.202083	2.152757	0.038166
114.278461	2.152694	0.038306
115.354777	2.152627	0.038442
116.431088	2.152386	0.038580
117.507163	2.152156	0.038690
118.583244	2.152159	0.038812
119.659322	2.152140	0.038920
120.735384	2.152087	0.039024
121.811409	2.152038	0.039130
122.887422	2.152035	0.039236
123.963444	2.152036	0.039348
125.039458	2.151994	0.039456
126.115438	2.151952	0.039552
127.191410	2.151921	0.039664
128.267359	2.151883	0.039774
129.343293	2.151818	0.039870
130.419177	2.151778	0.039974
131.495071	2.151760	0.040074
132.570937	2.151730	0.040178
133.646801	2.151711	0.040286
134.722648	2.151672	0.040380
135.798473	2.151636	0.040482
136.874284	2.151629	0.040588
137.950102	2.151623	0.040692
139.025907	2.151650	0.040798
140.101752	2.151576	0.040896
141.177483	2.151518	0.040998
142.253270	2.151559	0.041100
143.329042	2.151537	0.041204
144.404807	2.151520	0.041310
145.480562	2.151498	0.041416
146.556305	2.151473	0.041522
147.632035	2.151467	0.041626
148.707772	2.151446	0.041732
149.783481	2.151395	0.041838
150.859167	2.151383	0.041950
151.934864	2.151389	0.042060
153.010556	2.151365	0.042160
154.086229	2.151349	0.042270
155.161905	2.151396	0.042382
156.237625	2.151326	0.042490
157.313231	2.151251	0.042606
158.388876	2.151328	0.042716
159.464559	2.151254	0.042822
160.540130	2.151165	0.042936
161.615724	2.151215	0.043044
162.691345	2.151135	0.043150
163.766859	2.151066	0.043266
164.842411	2.151077	0.043378
165.917936	2.151056	0.043488
166.993467	2.151068	0.043594
168.069004	2.151044	0.043700
169.144511	2.150998	0.043814
170.220002	2.150967	0.043928
171.295478	2.150950	0.044040
172.370952	2.150936	0.044156
173.446414	2.150974	0.044272
174.521926	2.150863	0.044372
175.597277	2.150789	0.044482
176.672715	2.150854	0.044598
177.748131	2.150840	0.044714
178.823555	2.150833	0.044830
179.898964	2.150825	0.044940
180.974380	2.150816	0.045052
182.049780	2.150810	0.045168
183.125190	2.150794	0.045276
184.200574	2.150776	0.045384
185.275966	2.150760	0.045504
186.351334	2.150735	0.045620
187.426701	2.150677	0.045734
188.502011	2.150630	0.045850
189.577331	2.150635	0.045962
190.652646	2.150616	0.046072
191.727947	2.150604	0.046186
192.803250	2.150600	0.046304
193.878547	2.150579	0.046414
194.953829	2.150575	0.046526
196.029122	2.150576	0.046644
197.104405	2.150526	0.046754
198.179648	2.150512	0.046868
199.254917	2.150535	0.046986
200.330183	2.150470	0.047102
201.405387	2.150471	0.047210
202.480654	2.150462	0.047324
203.555849	2.150388	0.047438
204.631042	2.150360	0.047544
205.706209	2.150340	0.047662
206.781382	2.150453	0.047776
207.856662	2.150387	0.047888
208.931769	2.150158	0.048010
210.006820	2.150242	0.048156
211.082011	2.150421	0.048266
212.157241	2.150308	0.048354
213.232319	2.150208	0.048474
214.307449	2.150258	0.048590
215.382577	2.150258	0.048706
216.457707	2.150099	0.048822
217.532676	2.149962	0.048932
218.607669	2.149987	0.049046
219.682663	2.149975	0.049158
220.757644	2.149959	0.049264
221.832622	2.149946	0.049368
222.907590	2.149949	0.049476
223.982571	2.149952	0.049590
225.057542	2.149918	0.049696
226.132489	2.149930	0.049802
227.207472	2.149937	0.049916
228.282426	2.149910	0.050024
229.357382	2.149871	0.050136
230.432297	2.149889	0.050250
231.507271	2.149895	0.050358
232.582192	2.149852	0.050468
233.657123	2.149883	0.050586
234.732075	2.149874	0.050702
235.806997	2.149856	0.050806
236.881931	2.149834	0.050922
237.956831	2.149816	0.051038
239.031747	2.149822	0.051154
240.106653	2.149812	0.051266
241.181559	2.149799	0.051370
242.256452	2.149821	0.051492
243.331380	2.149778	0.051612
244.406230	2.149734	0.051724
245.481114	2.149783	0.051844
246.556013	2.149773	0.051954
247.630887	2.149733	0.052062
248.705746	2.149710	0.052180
249.780597	2.149690	0.052298
250.855436	2.149716	0.052416
251.930313	2.149719	0.052538
253.005155	2.149691	0.052658
254.080004	2.149691	0.052776
255.154846	2.149688	0.052896
256.229692	2.149678	0.053012
257.304524	2.149659	0.053136
258.379351	2.149651	0.053262
259.454175	2.149661	0.053378
260.529012	2.149664	0.053496
261.603839	2.149634	0.053622
262.678646	2.149647	0.053744
263.753486	2.149632	0.053864
264.828278	2.149596	0.053984
265.903082	2.149609	0.054108
266.977887	2.149614	0.054234
268.052696	2.149616	0.054352
269.127503	2.149639	0.054478
270.202335	2.149597	0.054610
271.277100	2.149544	0.054728
272.351879	2.149564	0.054838
273.426664	2.149560	0.054964
274.501439	2.149570	0.055098
275.576234	2.149543	0.055228
276.650982	2.149554	0.055356
277.725788	2.149585	0.055480
278.800567	2.149543	0.055606
279.875331	2.149518	0.055734
280.950085	2.149516	0.055858
282.024847	2.149514	0.055978
283.099599	2.149507	0.056110
284.174354	2.149494	0.056244
285.249093	2.149514	0.056374
286.323868	2.149502	0.056500
287.398595	2.149460	0.056626
288.473328	2.149448	0.056760
289.548043	2.149466	0.056890
290.622794	2.149492	0.057024
291.697535	2.149467	0.057158
292.772261	2.149451	0.057286
293.846986	2.149453	0.057424
294.921714	2.149409	0.057564
295.996395	2.149437	0.057690
297.071151	2.149421	0.057818
298.145816	2.149396	0.057960
299.220547	2.149458	0.058094
300.295274	2.149372	0.058232
301.369919	2.149356	0.058374
302.444630	2.149414	0.058512
303.519333	2.149404	0.058650
304.594034	2.149388	0.058788
305.668721	2.149398	0.058934
306.743432	2.149371	0.059076
307.818092	2.149323	0.059196
308.892755	2.149378	0.059326
309.967470	2.149396	0.059492
311.042151	2.149375	0.059630
312.116845	2.149361	0.059766
313.191512	2.149297	0.059920
314.266142	2.149317	0.060044
315.340829	2.149352	0.060182
316.415494	2.149187	0.060332
317.490016	2.149330	0.060468
318.564824	2.149435	0.060616
319.639451	2.149216	0.060774
320.714040	2.149273	0.060924
321.788724	2.149320	0.061068
322.863360	2.149242	0.061220
323.937966	2.149290	0.061352
325.012650	2.149348	0.061492
326.087314	2.149272	0.061644
