#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
2.495317	2.158845	0.022694
3.574728	2.158815	0.022772
4.654132	2.158809	0.022844
5.733537	2.158745	0.022914
6.812877	2.158642	0.022982
7.892179	2.158598	0.023046
8.971475	2.158556	0.023118
10.050735	2.158510	0.023190
11.129985	2.158475	0.023258
12.209210	2.158425	0.023324
13.288410	2.158381	0.023392
14.367591	2.158350	0.023462
15.446760	2.158303	0.023532
16.525894	2.158247	0.023600
17.605007	2.158202	0.023670
18.684096	2.158153	0.023740
19.763160	2.158101	0.023804
20.842197	2.158058	0.023874
21.921218	2.158012	0.023952
23.000209	2.157961	0.024026
24.079179	2.157902	0.024098
25.158111	2.157839	0.024170
26.237018	2.157788	0.024240
27.315899	2.157739	0.024310
28.394757	2.157690	0.024382
29.473589	2.157652	0.024458
30.552409	2.157625	0.024534
31.631214	2.157596	0.024604
32.710005	2.157552	0.024678
33.788766	2.157506	0.024756
34.867511	2.157464	0.024830
35.946230	2.157423	0.024904
37.024934	2.157372	0.024980
38.103602	2.157315	0.025056
39.182249	2.157277	0.025134
40.260879	2.157242	0.025206
41.339491	2.157189	0.025278
42.418068	2.157152	0.025356
43.496643	2.157124	0.025438
44.575192	2.157080	0.025516
45.653723	2.157029	0.025594
46.732221	2.156983	0.025674
47.810706	2.156938	0.025752
48.889159	2.156873	0.025830
49.967579	2.156822	0.025910
51.045981	2.156792	0.025990
52.124371	2.156757	0.026070
53.202738	2.156722	0.026152
54.281093	2.156659	0.026230
55.359397	2.156602	0.026306
56.437695	2.156561	0.026390
57.515958	2.156536	0.026476
58.594231	2.156518	0.026554
59.672476	2.156472	0.026632
60.750703	2.156434	0.026714
61.828910	2.156397	0.026800
62.907100	2.156355	0.026888
63.985265	2.156313	0.026970
65.063413	2.156279	0.027054
66.141544	2.156237	0.027140
67.219650	2.156193	0.027224
68.297737	2.156162	0.027310
69.375812	2.156119	0.027400
70.453856	2.156075	0.027488
71.531887	2.156033	0.027574
72.609889	2.155995	0.027662
73.687882	2.155964	0.027752
74.765853	2.155930	0.027842
75.843812	2.155889	0.027928
76.921742	2.155844	0.028016
77.999656	2.155810	0.028112
79.077552	2.155779	0.028204
80.155435	2.155734	0.028290
81.233286	2.155719	0.028380
82.311154	2.155685	0.028472
83.388971	2.155625	0.028566
84.466779	2.155595	0.028658
85.544566	2.155561	0.028752
86.622340	2.155500	0.028848
87.700066	2.155443	0.028944
88.777783	2.155400	0.029038
89.855466	2.155337	0.029132
90.933120	2.155303	0.029228
92.010769	2.155273	0.029322
93.088393	2.155233	0.029414
94.166002	2.155208	0.029512
95.243601	2.155171	0.029610
96.321173	2.155131	0.029706
97.398732	2.155068	0.029804
98.476241	2.154992	0.029902
99.553724	2.154948	0.030000
100.631189	2.154927	0.030098
101.708651	2.154902	0.030198
102.786091	2.154868	0.030298
103.863519	2.154835	0.030394
104.940926	2.154801	0.030496
106.018320	2.154765	0.030600
107.095691	2.154744	0.030702
108.173064	2.154720	0.030800
109.250411	2.154679	0.030902
110.327743	2.154629	0.031006
111.405040	2.154617	0.031108
112.482360	2.154601	0.031212
113.559641	2.154552	0.031314
114.636912	2.154529	0.031420
115.714170	2.154494	0.031528
116.791406	2.154462	0.031632
117.868632	2.154431	0.031740
118.945837	2.154395	0.031846
120.023027	2.154360	0.031958
121.100197	2.154341	0.032070
122.177368	2.154315	0.032176
123.254512	2.154259	0.032288
124.331627	2.154226	0.032402
125.408738	2.154198	0.032512
