#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
4.296587	2.165773	0.017118
5.379449	2.165705	0.017170
6.462292	2.165605	0.017220
7.545054	2.165471	0.017268
8.627763	2.165380	0.017314
9.710434	2.165289	0.017364
10.793052	2.165197	0.017412
11.875631	2.165101	0.017458
12.958153	2.164960	0.017506
14.040591	2.164930	0.017554
15.123083	2.164898	0.017602
16.205489	2.164755	0.017650
17.287838	2.164680	0.017700
18.370169	2.164611	0.017750
19.452449	2.164532	0.017798
20.534701	2.164455	0.017846
21.616904	2.164357	0.017896
22.699058	2.164277	0.017944
23.781181	2.164198	0.017990
24.863256	2.164117	0.018040
25.945298	2.164051	0.018092
27.027307	2.163971	0.018146
28.109269	2.163892	0.018198
29.191199	2.163815	0.018246
30.273084	2.163715	0.018292
31.354914	2.163653	0.018344
32.436737	2.163579	0.018398
33.518493	2.163496	0.018450
34.600233	2.163443	0.018502
35.681936	2.163398	0.018552
36.763631	2.163341	0.018602
37.845277	2.163258	0.018654
38.926889	2.163186	0.018706
40.008463	2.163107	0.018758
41.089996	2.163007	0.018808
42.171470	2.162918	0.018856
43.252914	2.162856	0.018908
44.334326	2.162791	0.018964
45.415705	2.162712	0.019018
46.497038	2.162644	0.019072
47.578349	2.162576	0.019126
48.659614	2.162505	0.019180
49.740854	2.162454	0.019232
50.822068	2.162381	0.019284
51.903235	2.162308	0.019338
52.984376	2.162250	0.019392
54.065485	2.162184	0.019446
55.146560	2.162118	0.019500
56.227603	2.162035	0.019554
57.308595	2.161960	0.019606
58.389563	2.161895	0.019662
59.470490	2.161830	0.019720
60.551393	2.161783	0.019770
61.632273	2.161702	0.019826
62.713095	2.161629	0.019882
63.793902	2.161583	0.019936
64.874678	2.161514	0.019992
65.955416	2.161446	0.020048
67.036124	2.161381	0.020104
68.116797	2.161318	0.020158
69.197442	2.161253	0.020216
70.278050	2.161186	0.020276
71.358628	2.161115	0.020328
72.439165	2.161091	0.020382
73.519719	2.161034	0.020442
74.600199	2.160923	0.020498
75.680642	2.160883	0.020556
76.761082	2.160829	0.020616
77.841471	2.160760	0.020674
78.921842	2.160713	0.020732
80.002184	2.160659	0.020788
81.082501	2.160619	0.020846
82.162803	2.160548	0.020906
83.243049	2.160470	0.020962
84.323273	2.160389	0.021018
85.403438	2.160380	0.021080
86.483653	2.160371	0.021142
87.563809	2.160280	0.021202
88.643933	2.160232	0.021262
89.724041	2.160134	0.021326
90.804067	2.160086	0.021386
91.884127	2.160019	0.021442
92.964086	2.159995	0.021508
94.044122	2.159997	0.021572
95.124083	2.159866	0.021630
96.203988	2.159800	0.021688
97.283883	2.159765	0.021750
98.363753	2.159709	0.021814
99.443592	2.159659	0.021876
100.523412	2.159613	0.021940
101.603205	2.159552	0.022002
102.682964	2.159497	0.022064
103.762702	2.159451	0.022128
104.842415	2.159403	0.022194
105.922105	2.159327	0.022258
107.001742	2.159250	0.022324
108.081355	2.159154	0.022390
109.160896	2.159129	0.022456
110.240484	2.159097	0.022524
111.319993	2.158999	0.022590
112.399483	2.158985	0.022654
113.478978	2.158950	0.022720
114.558433	2.158881	0.022790
115.637859	2.158831	0.022858
116.717264	2.158802	0.022924
117.796661	2.158765	0.022990
118.876029	2.158702	0.023058
119.955363	2.158644	0.023126
121.034673	2.158577	0.023194
122.113940	2.158513	0.023264
123.193186	2.158457	0.023332
124.272397	2.158408	0.023398
125.351594	2.158370	0.023468
126.430767	2.158322	0.023538
127.509916	2.158281	0.023608
128.589048	2.158244	0.023680
129.668160	2.158201	0.023752
130.747249	2.158144	0.023818
131.826304	2.158099	0.023888
132.905348	2.158057	0.023964
133.984361	2.158014	0.024034
135.063362	2.157992	0.024104
136.142353	2.157939	0.024178
137.221301	2.157886	0.024250
138.300239	2.157852	0.024322
139.379153	2.157806	0.024394
140.458045	2.157768	0.024466
141.536921	2.157740	0.024542
142.615785	2.157680	0.024614
143.694601	2.157618	0.024686
144.773403	2.157600	0.024762
145.852201	2.157559	0.024834
146.930962	2.157497	0.024908
148.009698	2.157456	0.024984
149.088418	2.157433	0.025060
150.167131	2.157410	0.025134
151.245828	2.157326	0.025212
152.324457	2.157267	0.025294
153.403095	2.157243	0.025366
154.481700	2.157211	0.025440
155.560306	2.157171	0.025520
156.638871	2.157119	0.025598
157.717425	2.157074	0.025678
158.795945	2.157001	0.025754
159.874426	2.156986	0.025832
160.952931	2.156985	0.025914
162.031411	2.156917	0.025990
163.109848	2.156876	0.026068
164.188287	2.156847	0.026150
165.266695	2.156806	0.026230
166.345093	2.156779	0.026314
167.423474	2.156733	0.026396
168.501826	2.156671	0.026476
169.580145	2.156629	0.026558
170.658455	2.156592	0.026642
171.736737	2.156540	0.026726
172.814995	2.156493	0.026810
173.893230	2.156464	0.026896
174.971459	2.156436	0.026982
176.049666	2.156403	0.027060
177.127862	2.156365	0.027140
178.206031	2.156317	0.027226
179.284179	2.156282	0.027314
180.362313	2.156235	0.027402
181.440414	2.156204	0.027488
182.518517	2.156175	0.027578
183.596589	2.156130	0.027666
184.674647	2.156092	0.027754
185.752681	2.156045	0.027842
186.830692	2.156023	0.027928
187.908704	2.155982	0.028020
188.986674	2.155906	0.028116
190.064610	2.155879	0.028204
191.142553	2.155864	0.028294
192.220474	2.155778	0.028388
193.298331	2.155736	0.028474
194.376210	2.155722	0.028564
195.454053	2.155673	0.028658
196.531883	2.155644	0.028746
197.609697	2.155618	0.028838
198.687501	2.155550	0.028934
199.765247	2.155488	0.029026
200.842989	2.155478	0.029122
201.920725	2.155443	0.029222
202.998432	2.155382	0.029316
204.076107	2.155344	0.029410
205.153776	2.155339	0.029508
206.231446	2.155308	0.029604
207.309084	2.155248	0.029696
208.386694	2.155225	0.029792
209.464309	2.155192	0.029890
210.541886	2.155176	0.029988
211.619485	2.155146	0.030086
212.697032	2.155100	0.030184
213.774585	2.155059	0.030290
214.852091	2.155043	0.030394
215.929628	2.154990	0.030492
