#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
5.985879	2.161518	0.020002
7.066615	2.161432	0.020058
8.147311	2.161357	0.020114
9.227972	2.161328	0.020176
10.308639	2.161282	0.020234
11.389254	2.161174	0.020288
12.469813	2.161107	0.020346
13.550361	2.161060	0.020406
14.630873	2.160988	0.020466
15.711349	2.160922	0.020526
16.791795	2.160872	0.020586
17.872221	2.160817	0.020646
18.952612	2.160755	0.020704
20.032976	2.160697	0.020764
21.113309	2.160631	0.020826
22.193607	2.160564	0.020886
23.273873	2.160509	0.020946
24.354116	2.160453	0.021008
25.434326	2.160395	0.021064
26.514511	2.160338	0.021122
27.594664	2.160282	0.021188
28.674793	2.160227	0.021250
29.754891	2.160168	0.021306
30.834961	2.160117	0.021370
31.915008	2.160058	0.021436
32.995019	2.159983	0.021498
34.074991	2.159946	0.021558
35.154965	2.159888	0.021618
36.234879	2.159822	0.021682
37.314787	2.159773	0.021750
38.394652	2.159694	0.021816
39.474481	2.159653	0.021878
40.554305	2.159639	0.021938
41.634120	2.159579	0.022004
42.713884	2.159508	0.022072
43.793628	2.159446	0.022136
44.873330	2.159385	0.022204
45.953013	2.159352	0.022270
47.032682	2.159305	0.022332
48.112318	2.159228	0.022400
49.191910	2.159170	0.022468
50.271488	2.159131	0.022536
51.351041	2.159084	0.022602
52.430572	2.159030	0.022668
53.510071	2.158958	0.022738
54.589530	2.158886	0.022804
55.668957	2.158840	0.022870
56.748370	2.158800	0.022940
57.827757	2.158748	0.023010
58.907118	2.158690	0.023080
59.986447	2.158636	0.023150
61.065754	2.158593	0.023216
62.145040	2.158549	0.023284
63.224303	2.158501	0.023354
64.303541	2.158464	0.023426
65.382767	2.158415	0.023498
66.461956	2.158361	0.023568
67.541128	2.158306	0.023640
68.620262	2.158249	0.023712
69.699377	2.158211	0.023786
70.778473	2.158162	0.023858
71.857539	2.158097	0.023930
72.936570	2.158045	0.024004
74.015584	2.158011	0.024076
75.094581	2.157963	0.024146
