#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
3.392024	2.155742	0.028224
4.469885	2.155694	0.028326
5.547718	2.155641	0.028416
6.625526	2.155600	0.028504
7.703318	2.155562	0.028604
8.781088	2.155531	0.028692
9.858849	2.155468	0.028778
10.936556	2.155396	0.028868
12.014245	2.155343	0.028966
13.091899	2.155334	0.029062
14.169579	2.155313	0.029158
15.247212	2.155166	0.029256
16.324745	2.155111	0.029354
17.402323	2.155145	0.029450
18.479890	2.155119	0.029544
19.557442	2.155057	0.029644
20.634947	2.154991	0.029746
21.712433	2.154942	0.029842
22.789889	2.154921	0.029934
23.867354	2.154905	0.030032
24.944794	2.154865	0.030128
26.022219	2.154841	0.030226
27.099635	2.154832	0.030326
28.177051	2.154800	0.030430
29.254435	2.154754	0.030534
30.331805	2.154725	0.030630
31.409160	2.154692	0.030732
32.486497	2.154654	0.030838
33.563814	2.154621	0.030940
34.641118	2.154588	0.031048
35.718402	2.154561	0.031152
36.795679	2.154544	0.031254
37.872946	2.154505	0.031360
38.950184	2.154466	0.031464
40.027412	2.154447	0.031572
41.104631	2.154421	0.031682
42.181833	2.154393	0.031790
43.259024	2.154364	0.031896
44.336197	2.154335	0.032002
45.413359	2.154299	0.032110
46.490496	2.154264	0.032220
47.567623	2.154241	0.032330
48.644737	2.154215	0.032438
49.721838	2.154195	0.032552
50.798932	2.154148	0.032672
51.875986	2.154091	0.032784
52.953023	2.154057	0.032894
54.030043	2.154012	0.033010
55.107035	2.153967	0.033126
56.184010	2.153937	0.033244
57.260972	2.153907	0.033364
58.337917	2.153867	0.033478
59.414839	2.153855	0.033598
60.491772	2.153840	0.033720
61.568679	2.153799	0.033834
62.645571	2.153779	0.033954
63.722458	2.153756	0.034080
64.799327	2.153713	0.034206
65.876171	2.153685	0.034326
66.953012	2.153658	0.034452
68.029829	2.153626	0.034578
69.106638	2.153595	0.034700
70.183424	2.153560	0.034824
71.260198	2.153525	0.034952
72.336949	2.153478	0.035074
73.413676	2.153443	0.035208
74.490392	2.153412	0.035336
75.567088	2.153373	0.035464
76.643765	2.153331	0.035602
77.720419	2.153300	0.035738
78.797065	2.153240	0.035874
79.873659	2.153132	0.036006
80.950197	2.153050	0.036138
82.026709	2.153005	0.036270
83.103202	2.152782	0.036396
84.179491	2.152583	0.036502
85.255785	2.152581	0.036622
86.332072	2.152554	0.036724
87.408339	2.152514	0.036826
88.484586	2.152482	0.036932
89.560821	2.152395	0.037038
90.636981	2.152306	0.037138
91.713127	2.152287	0.037234
92.789268	2.152263	0.037336
93.865390	2.152201	0.037436
94.941469	2.152143	0.037526
96.017533	2.152155	0.037622
97.093624	2.152094	0.037720
98.169627	2.152059	0.037814
99.245683	2.152093	0.037910
100.321720	2.152049	0.038004
101.397732	2.152039	0.038100
102.473759	2.152010	0.038198
103.549742	2.151959	0.038292
104.625718	2.151941	0.038392
105.701683	2.151906	0.038486
106.777624	2.151872	0.038584
107.853555	2.151867	0.038678
108.929491	2.151854	0.038774
110.005409	2.151848	0.038878
111.081339	2.151833	0.038974
112.157242	2.151803	0.039072
113.233142	2.151785	0.039172
114.309027	2.151751	0.039274
115.384893	2.151717	0.039370
116.460744	2.151699	0.039472
117.536592	2.151687	0.039580
118.612431	2.151678	0.039678
119.688270	2.151671	0.039772
120.764102	2.151653	0.039872
121.839923	2.151627	0.039974
122.915729	2.151624	0.040074
123.991547	2.151596	0.040174
125.067325	2.151566	0.040278
126.143113	2.151564	0.040378
127.218889	2.151544	0.040482
128.294657	2.151521	0.040586
129.370410	2.151499	0.040684
130.446156	2.151488	0.040788
131.521898	2.151475	0.040892
132.597631	2.151460	0.040998
133.673358	2.151439	0.041100
134.749070	2.151427	0.041200
135.824785	2.151404	0.041306
136.900474	2.151380	0.041408
137.976165	2.151376	0.041510
139.051850	2.151350	0.041616
