#Creator: pendulumEventBuffer
#Creation time: Thu Mar 20 14:45:03 2025
#Time	Period	Transit time
#[s]	[s]	[s]
2.743291	2.151570	0.040426
3.819074	2.151522	0.040516
4.894813	2.151404	0.040602
5.970478	2.151363	0.040700
7.046176	2.151376	0.040812
8.121854	2.151353	0.040924
9.197529	2.151346	0.041030
10.273200	2.151323	0.041132
11.348852	2.151295	0.041244
12.424495	2.151380	0.041354
13.500232	2.151434	0.041456
14.575929	2.151340	0.041570
15.651572	2.151259	0.041680
16.727188	2.151231	0.041784
17.802803	2.151228	0.041894
18.878416	2.151157	0.041996
19.953960	2.151110	0.042108
21.029526	2.151156	0.042224
22.105116	2.151130	0.042328
23.180656	2.151099	0.042432
24.256215	2.151088	0.042534
25.331744	2.151041	0.042640
26.407256	2.151026	0.042752
27.482770	2.151038	0.042856
28.558294	2.151022	0.042960
29.633792	2.150984	0.043064
30.709278	2.150850	0.043176
31.784642	2.150779	0.043288
32.860057	2.150810	0.043394
33.935452	2.150835	0.043500
35.010892	2.150841	0.043604
36.086293	2.150815	0.043714
37.161707	2.150809	0.043822
38.237102	2.150790	0.043932
39.312497	2.150718	0.044042
40.387820	2.150690	0.044148
41.463187	2.150696	0.044254
42.538516	2.150680	0.044360
43.613867	2.150691	0.044458
44.689207	2.150691	0.044562
45.764558	2.150657	0.044676
46.839864	2.150600	0.044784
47.915158	2.150587	0.044884
48.990451	2.150622	0.044994
50.065780	2.150612	0.045108
51.141063	2.150568	0.045214
52.216348	2.150512	0.045328
53.291575	2.150520	0.045442
54.366868	2.150517	0.045548
55.442092	2.150470	0.045664
56.517338	2.150475	0.045772
57.592567	2.150342	0.045874
58.667680	2.150212	0.045980
59.742779	2.150207	0.046086
60.817887	2.150269	0.046190
61.893048	2.150143	0.046292
62.968030	2.150018	0.046392
64.043066	2.150127	0.046492
65.118157	2.150112	0.046602
66.193178	2.150085	0.046704
67.268242	2.150051	0.046800
68.343229	2.149985	0.046894
69.418227	2.149986	0.046978
70.493215	2.149997	0.047094
71.568224	2.149993	0.047216
72.643208	2.149964	0.047320
73.718188	2.149955	0.047420
74.793163	2.149944	0.047522
75.868132	2.149934	0.047632
76.943097	2.149948	0.047734
78.018080	2.149952	0.047840
79.093049	2.149931	0.047946
80.168011	2.149919	0.048050
81.242968	2.149927	0.048156
82.317938	2.149931	0.048256
83.392899	2.149931	0.048362
84.467869	2.149942	0.048474
85.542841	2.149846	0.048578
86.617715	2.149905	0.048714
87.692746	2.149994	0.048820
88.767709	2.149892	0.048894
89.842638	2.149860	0.049004
90.917569	2.149902	0.049110
91.992540	2.149905	0.049216
93.067474	2.149871	0.049324
94.142411	2.149884	0.049434
95.217358	2.149869	0.049544
96.292280	2.149752	0.049668
97.367110	2.149796	0.049780
98.442076	2.149875	0.049876
99.516985	2.149811	0.049990
100.591887	2.149807	0.050102
101.666792	2.149792	0.050204
102.741679	2.149794	0.050310
103.816586	2.149799	0.050424
104.891478	2.149786	0.050536
105.966372	2.149775	0.050648
107.041253	2.149748	0.050762
108.116120	2.149779	0.050876
109.191032	2.149782	0.050988
110.265902	2.149735	0.051100
111.340767	2.149740	0.051214
112.415642	2.149712	0.051328
113.490479	2.149684	0.051442
114.565326	2.149697	0.051556
115.640176	2.149696	0.051672
116.715022	2.149686	0.051788
117.789862	2.149694	0.051904
118.864716	2.149660	0.052020
119.939522	2.149646	0.052132
121.014362	2.149673	0.052248
122.089195	2.149675	0.052366
123.164037	2.149662	0.052486
124.238857	2.149647	0.052610
125.313684	2.149640	0.052724
126.388497	2.149633	0.052838
127.463317	2.149630	0.052962
128.538127	2.149620	0.053086
129.612937	2.149615	0.053202
130.687742	2.149622	0.053316
131.762559	2.149610	0.053438
132.837352	2.149594	0.053560
133.912153	2.149587	0.053686
134.986939	2.149590	0.053810
136.061743	2.149581	0.053926
137.136520	2.149566	0.054040
138.211309	2.149581	0.054162
139.286101	2.149553	0.054294
140.360862	2.149528	0.054420
141.435629	2.149537	0.054542
142.510399	2.149531	0.054670
143.585160	2.149520	0.054792
144.659919	2.149507	0.054910
145.734667	2.149505	0.055042
146.809424	2.149491	0.055176
147.884158	2.149475	0.055300
148.958899	2.149464	0.055422
150.033622	2.149470	0.055540
151.108369	2.149376	0.055674
152.182998	2.149473	0.055808
153.257842	2.149562	0.055932
154.332560	2.149434	0.056068
155.407276	2.149428	0.056204
156.481988	2.149420	0.056340
157.556696	2.149450	0.056464
158.631438	2.149449	0.056588
159.706145	2.149408	0.056722
160.780846	2.149427	0.056856
161.855572	2.149407	0.056984
162.930253	2.149362	0.057110
164.004934	2.149375	0.057244
165.079628	2.149394	0.057380
166.154328	2.149383	0.057516
167.229011	2.149359	0.057650
168.303687	2.149348	0.057778
169.378359	2.149356	0.057910
170.453043	2.149349	0.058050
171.527708	2.149347	0.058196
172.602390	2.149336	0.058328
173.677044	2.149300	0.058460
174.751690	2.149312	0.058604
175.826356	2.149344	0.058740
176.901034	2.149331	0.058876
177.975687	2.149316	0.059018
179.050350	2.149284	0.059156
180.124971	2.149253	0.059290
181.199603	2.149288	0.059434
182.274259	2.149381	0.059582
183.348984	2.149326	0.059720
184.423585	2.149192	0.059862
185.498176	2.149279	0.060008
186.572864	2.149282	0.060152
187.647458	2.149234	0.060280
188.722098	2.149179	0.060424
189.796637	2.149198	0.060586
190.871296	2.149361	0.060720
191.945998	2.149255	0.060868
193.020551	2.149151	0.061026
194.095149	2.149196	0.061174
195.169747	2.149245	0.061318
196.244394	2.149230	0.061464
197.318977	2.149191	0.061622
198.393585	2.149210	0.061774
199.468187	2.149203	0.061918
200.542788	2.149183	0.062072
201.617370	2.149206	0.062232
202.691994	2.149184	0.062388
203.766554	2.149138	0.062544
